photo_id,iiif_manifest_emanuscripta,iiif_image_emanuscripta
image_0115,,
image_0116,,
image_0117,https://www.e-manuscripta.ch/i3f/v20/2002064/manifest,https://www.e-manuscripta.ch/i3f/v21/2002065/full/304/0/default.jpg
image_0118,https://www.e-manuscripta.ch/i3f/v20/2002070/manifest,https://www.e-manuscripta.ch/i3f/v21/2002071/full/304/0/default.jpg
image_0119,https://www.e-manuscripta.ch/i3f/v20/2002074/manifest,https://www.e-manuscripta.ch/i3f/v21/2002075/full/304/0/default.jpg
image_0120,https://www.e-manuscripta.ch/i3f/v20/2002080/manifest,https://www.e-manuscripta.ch/i3f/v21/2002081/full/304/0/default.jpg
image_0121,https://www.e-manuscripta.ch/i3f/v20/2002084/manifest,https://www.e-manuscripta.ch/i3f/v21/2002085/full/304/0/default.jpg
image_0122,https://www.e-manuscripta.ch/i3f/v20/2002089/manifest,https://www.e-manuscripta.ch/i3f/v21/2002090/full/304/0/default.jpg
image_0123,https://www.e-manuscripta.ch/i3f/v20/2002093/manifest,https://www.e-manuscripta.ch/i3f/v21/2002094/full/304/0/default.jpg
image_0124,https://www.e-manuscripta.ch/i3f/v20/2002097/manifest,https://www.e-manuscripta.ch/i3f/v21/2002098/full/304/0/default.jpg
image_0125,https://www.e-manuscripta.ch/i3f/v20/2002102/manifest,https://www.e-manuscripta.ch/i3f/v21/2002103/full/304/0/default.jpg
image_0126,https://www.e-manuscripta.ch/i3f/v20/2002107/manifest,https://www.e-manuscripta.ch/i3f/v21/2002108/full/304/0/default.jpg
image_0127,https://www.e-manuscripta.ch/i3f/v20/2002112/manifest,https://www.e-manuscripta.ch/i3f/v21/2002114/full/304/0/default.jpg
image_0128,https://www.e-manuscripta.ch/i3f/v20/2002117/manifest,https://www.e-manuscripta.ch/i3f/v21/2002118/full/304/0/default.jpg
image_0129,,
image_0130,https://www.e-manuscripta.ch/i3f/v20/2002121/manifest,https://www.e-manuscripta.ch/i3f/v21/2002122/full/304/0/default.jpg
image_0131,https://www.e-manuscripta.ch/i3f/v20/2002126/manifest,https://www.e-manuscripta.ch/i3f/v21/2002127/full/304/0/default.jpg
image_0132,https://www.e-manuscripta.ch/i3f/v20/2002131/manifest,https://www.e-manuscripta.ch/i3f/v21/2002132/full/304/0/default.jpg
image_0133,https://www.e-manuscripta.ch/i3f/v20/2002135/manifest,https://www.e-manuscripta.ch/i3f/v21/2002136/full/304/0/default.jpg
image_0134,https://www.e-manuscripta.ch/i3f/v20/2002139/manifest,https://www.e-manuscripta.ch/i3f/v21/2002140/full/304/0/default.jpg
image_0135,https://www.e-manuscripta.ch/i3f/v20/2002144/manifest,https://www.e-manuscripta.ch/i3f/v21/2002145/full/304/0/default.jpg
image_0136,https://www.e-manuscripta.ch/i3f/v20/2002149/manifest,https://www.e-manuscripta.ch/i3f/v21/2002150/full/304/0/default.jpg
image_0137,https://www.e-manuscripta.ch/i3f/v20/2002153/manifest,https://www.e-manuscripta.ch/i3f/v21/2002154/full/304/0/default.jpg
image_0138,https://www.e-manuscripta.ch/i3f/v20/2002158/manifest,https://www.e-manuscripta.ch/i3f/v21/2002159/full/304/0/default.jpg
image_0139,https://www.e-manuscripta.ch/i3f/v20/2002163/manifest,https://www.e-manuscripta.ch/i3f/v21/2002164/full/304/0/default.jpg
image_0140,https://www.e-manuscripta.ch/i3f/v20/2002168/manifest,https://www.e-manuscripta.ch/i3f/v21/2002169/full/304/0/default.jpg
image_0141,https://www.e-manuscripta.ch/i3f/v20/2002173/manifest,https://www.e-manuscripta.ch/i3f/v21/2002174/full/304/0/default.jpg
image_0142,https://www.e-manuscripta.ch/i3f/v20/2002178/manifest,https://www.e-manuscripta.ch/i3f/v21/2002179/full/304/0/default.jpg
image_0143,https://www.e-manuscripta.ch/i3f/v20/2002183/manifest,https://www.e-manuscripta.ch/i3f/v21/2002184/full/304/0/default.jpg
image_0144,https://www.e-manuscripta.ch/i3f/v20/2002188/manifest,https://www.e-manuscripta.ch/i3f/v21/2002189/full/304/0/default.jpg
image_0145,https://www.e-manuscripta.ch/i3f/v20/2002193/manifest,https://www.e-manuscripta.ch/i3f/v21/2002194/full/304/0/default.jpg
image_0146,https://www.e-manuscripta.ch/i3f/v20/2002198/manifest,https://www.e-manuscripta.ch/i3f/v21/2002199/full/304/0/default.jpg
image_0147,https://www.e-manuscripta.ch/i3f/v20/2002203/manifest,https://www.e-manuscripta.ch/i3f/v21/2002204/full/304/0/default.jpg
image_0148,https://www.e-manuscripta.ch/i3f/v20/2002208/manifest,https://www.e-manuscripta.ch/i3f/v21/2002209/full/304/0/default.jpg
image_0149,https://www.e-manuscripta.ch/i3f/v20/2002213/manifest,https://www.e-manuscripta.ch/i3f/v21/2002214/full/304/0/default.jpg
